quizGroup type="WordMapping" promptType="English word" responseType="German word" mainSeparator="|" currentPromptNumber="0" isActive="true"
population|einwohner|
adult|erwachse|
voted|gekürt|
sex|geschlecht|
generously|großzügig|
hair|haar|
challenge them|herausfordere|
victory|siege|
overwrite|überschreibe|
school year|schuljahr|
experience|erlebnis|
hazardous|gefährde|
get used|gewöhnst|
offensive|offensive|
fixed|feste|
icon|symbol|
open|öffne|
handed|übergab|
look|aussehe|
commencement|beginns|
retained|behielt|
law|gesetz|
manufacturing|herstelle|
kostest|kostest|
camp|lager|
responsible|schuld|
back|zurückgekehrt|
agree|zustimmst|
certainly|gewiß|
differs|abweiche|
anführens|anführens|
authorized|befugt|
or|bzw|
Democrat|demokratin|
decided|entschloss|
worn|getragen|
belt|gürtel|
marriage|heirat|
year|jährig|
man of letters|literat|
medici|medici|
religion|religion|
looks|schaut|
theoretically|theoretisch|
depth|tiefe|
violation|verstoss|
convincing|überzeug|
distinguishing|auszeichne|
my|meines|
Preheating|vorwärme|
marble|marmor|
column|säule|
understand|begreife|
betriff|betriff|
done|geschieht|
controlling|kontrolliere|
laugh|lachst|
Münchau|münchau|
curiosity|neugier|
sword|schwert|
Deputy|stellvertreten|
like|ähnliches|
claims|ansprüche|
outbreak|ausbruch|
was|betrug|
brethren|brüder|
miserable|elend|
recognize|erkennst|
almost|geradezu|
least green|gründest|
multiple|mehrfach|
shuffle|mischst|
positive|positiv|
price|preis|
pay|sold|
fact|tatsache|
countless|unzählig|
association|verband|
avoid|vermeide|
related|verwandt|
use|verwende|
wenders|wenders|
with which|womit|
at least|zumindest|
cooperation|zusammenarbeit|
dependent|abhängig|
occupied|belegt|
bloom|blüte|
restricts|einschränke|
currently|gegenwärtig|
Read|gelesen|
designers|gestaltern|
inner|innern|
know|kenne|
murder|morden|
problem|problematik|
saw|sahen|
fright|schreck|
independently|selbständig|
corporate|unternehme|
verständigst|verständigst|
verursachst|verursachst|
enlightening|aufklärst|
foreign countries|ausland|
contribution|beitrag|
occupation|besetzung|
thinks|denkt|
musical|musikalisch|
Roman|römer|
vermeine|vermeine|
lived out|ausgelebt|
area|bereich|
Kill|erledige|
the lowest|geringst|
June|juni|
classical|klassisch|
ill|krank|
length|länge|
mix|vermische|
displayed|angezeigt|
active|aktive|
begebt|begebt|
geduid|geduid|
against page|gegenseite|
Principles|grundsätze|
helped|half|
respect|hinsicht|
knowledge|kenntnisse|
Comment|kommentiere|
artist|künstlerin|
para diere|paradiere|
worse|schlechtere|
sale|verkauf|
defending|verteidige|
count|zählen|
replaced|abgelöst|
all kinds of|allerlei|
dissolves|auflöst|
press|drückst|
own|eigenes|
only|einzig|
enemies|feinde|
foreign|fremder|
business|geschäft|
changed|geändert|
Conflicts|konflikte|
living|lebendem|
lack|mangeln|
debris|schutts|
sorgst|sorgst|
dispute|streit|
crashes|stürzt|
comparison|vergleich|
heralds|verkündern|
fourth|vierte|
Volkers|volkers|
winter|winter|
überleg|überleg|
fear|befürchte|
decisive or|entschluß|
gebrauchst|gebrauchst|
driven|gefahren|
liked|gefiel|
known|gekannt|
gescheitem|gescheitem|
thrown|geworfen|
julian|julian|
read|las|
guilty|schuldig|
wrote about|überschrieb|
moving|beweg|
ultimately|letztlich|
diversity|vielfalt|
access|zugang|
sitting|sitzend|
to see|anzusehen|
poor|armen|
accompany|begleite|
lead|blei|
thickness|dicke|
restricted|eingeschränkt|
unsuccessful|erfolglos|
experiences|erlebnisse|
are generating|erzeugst|
looking forward|freust|
friedrich|friedrich|
happy|froh|
permit|gestatte|
warned|gewarnt|
toolbar provides|gewährleiste|
conservative|konservativ|
concentrate|konzentrierst|
Lion|löwe|
center|mittelpunkt|
Powers|mächte|
horse|pferd|
philosophy|philosophie|
produce|produziere|
accident|unglück|
conditions|verhältnisse|
virtue|vermöge|
verteiit|verteiit|
wish|wünschen|
zweimai|zweimai|
awe|ehrfurcht|
young|junger|
father|pater|
distinguished|vornehmes|
neck|nacken|
up|aufgebaut|
use|benutze|
call|bezeichne|
German|deutsch|
Items|gegenstände|
geleitest|geleitest|
called|gerufen|
criticism|kritik|
lord|lord|
in heat|läufig|
chic|schick|
suggest|schlage|
proceed|vorgehen|
economy|wirtschaft|
line|zeile|
cite|zitierst|
attach|befestige|
bestrebe|bestrebe|
raise|erhöhst|
explain|erläutere|
murdering|ermordens|
fixed|festen|
swept|gefegt|
Kann|kanns|
rental|verleihs|
disprove|widerlege|
together with|nebst|
can|läßt|
evidence|beweis|
permanent|dauerhaft|
demonstrate|demonstriere|
fidget|drängle|
Historic|historik|
hat|hut|
peak|höhepunkt|
unfortunately|leider|
monk|mönch|
spatial|räum|
sovereign|souverän|
lives|wohnt|
zimm|zimm|
overlook|übersehe|
extraordinarily|außerordentlich|
instruct|beauftrage|
relieve|entlaste|
raise|erhebe|
merry|fröhlich|
intelligence|intelligence|
interested in|interessierst|
wiedervereinige|wiedervereinige|
left|übrig|
view|aussicht|
Touch|berühr|
prey|beute|
good|gutes|
ideas|ideen|
jag|jag|
long|langer|
plans|pläne|
estimates|schätzt|
aims|strebt|
handling|umgang|
remained|verblieb|
waff|waff|
select|wähle|
The|the|
go out|ausgehen|
construction|bau|
doubt|bezweifele|
prince|fürsten|
Gentlemen|herren|
inside|hinein|
imperial|kaiserlich|
fighting|kämpfend|
wall|mauer|
metal|metall|
national|nationalem|
sacrifice|opfern|
test|prüfung|
purely|rein|
swarm|schwarm|
looking for|suchst|
publishing|verlege|
verlegst|verlegst|
verringernd|verringernd|
more important|wichtigere|
zuschaue|zuschaue|
east|östlich|
elite|elite|
risest|aufgehst|
went|begab|
need|benötige|
discover|entdecke|
erschütterns|erschütterns|
educate|erziehn|
built|gebaut|
persistent|hartnäckig|
hang|hängen|
body|körpers|
desire|lust|
obscures|verdecke|
marry|verheirate|
worldwide|weltweit|
assail|bestürme|
fritz|fritz|
antlers|geweih|
Auss|auß|
Berliner|berliner|
besagst|besagst|
orders of|bestellst|
citizen|bürger|
dominating|dominierst|
strange|eigentümlich|
environment|gebung|
solved|gelöst|
just|gerecht|
hannes|hannes|
bitter|herbem|
hinterland|hinterland|
hope|hoffst|
hungry|hungernd|
pretty|hübsch|
after all|immerhin|
boarding|internaten|
lying|liegend|
useful|nützlich|
ear|ohr|
philosopher|philosoph|
raschele|raschele|
cut|schneiden|
severa|severa|
south|südlich|
verfehlst|verfehlst|
versorgst|versorgst|
wonderful|wunderbar|
treatise|abhandlung|
exploration for|aufsuche|
foreign policy|außenpolitik|
leg|bein|
accelerating|beschleunige|
one|eins|
insight|einsicht|
enemy|feindlichem|
distance|ferne|
galego|galego|
common|gemein|
subscribed|gezeichnet|
thoroughly|gründlich|
kilometer|kilometer|
criticize|kritisiere|
method|methode|
flow|münden|
pure|reinem|
sand|sand|
custom|sitte|
activity|tätigkeit|
waiver|verzichtes|
to hasten|übereile|
rejected|abgelehnt|
one and a half|anderthalb|
pay|bezahle|
thanking|dankst|
native|einheimisch|
result|ergebnis|
acquired|erworben|
field|feld|
protected|geschützt|
internal|interne|
decade|jahrzehnt|
decades|jahrzehnten|
declines|lehnt|
provinces|provinzen|
reaction|reaktion|
Sheep|schafe|
in writing|schriftlich|
spence|spence|
loyalty|treue|
effective|wirksam|
all too|allzu|
implied|angedeutet|
shame|beschäme|
of course|freilich|
did|mochte|
ausführst|ausführst|
authoritarian|autoritär|
interpret|deute|
grave|grab|
lei|lei|
candlestick|leuchter|
studios|studios|
unpleasant|unangenehm|
signed|unterschrieb|
compose|verfasse|
Forgetting|vergessend|
compared|verglich|
perform|verrichten|
provisionally|vorläufig|
showcase|vorzeige|
warsaw|warschau|
check|überprüfe|
antoniae|antoniae|
lays down|aufstelle|
improve|bessern|
pursuing|betreibe|
inhabit|bewohnst|
urge|drang|
ready|fertig|
fill|füllst|
redound|gereiche|
entire|gesamtem|
religious|gläubig|
obtained|holt|
instrument|instrument|
invite|laden|
teaching|lehre|
can|lässt|
powerful|mächtiges|
in principle|prinzipiell|
of course|selbstverständlich|
follow|verfolge|
live|wohnen|
zufaii|zufaii|
excesses|überflüsse|
took|übernahm|
Graner|graner|
different|verschied|
ages|altert|
and|and|
offer|angebot|
accepted|annahm|
Arab|araber|
given up|aufgegeben|
favoring|begünstige|
compute|berechne|
taping|bewick|
establishing itself|etabliere|
early|früh|
course|gang|
go|gehe|
yesterday|gestern|
stove|herd|
interesting|interessant|
clan|klan|
forces|kräften|
meter|meter|
Ministries|ministerien|
use|nutze|
stuf|stuf|
based|stützt|
kick|trete|
Circumvent|umgehe|
regardless|ungeachtet|
uncertain|unsicher|
entertainment|unterhaltung|
lost|verlorenem|
sweet|lieblich|
head|kopfe|
arabia|arabia|
associations|bände|
taken|eingenommen|
facility|einrichtung|
close|enger|
contains|enthält|
erbaust|erbaust|
invention|erfindung|
summarize|fasse|
fear|fürchtest|
left behind|hinterliess|
get|hole|
knee|knie|
conflict|konflikt|
ludwig|ludwig|
message|meldung|
in the middle|mitten|
toil|mühsal|
organization|organisation|
Eastern Europe|osteuropa|
steckst|steckst|
strength|stärke|
subject|unterlag|
burnt|verbrannt|
perceive|wahrnehme|
threw|warf|
ausarbeite|ausarbeite|
humanities|geistes|
reprimanded|gerügt|
must|müßt|
seventh|siebt|
sound|ton|
about rage|überrage|
beard|bart|
eliminate|beseitigen|
bewährst|bewährst|
bundde|bundde|
trees|bäume|
faxed|gefaxt|
Create|gestalte|
hot|heiße|
sound|klingen|
cultural|kulturelle|
mouth|mund|
longing|sehnst|
social|sozialem|
controversial|umstritten|
compare|vergleiche|
scientific|wissenschaftliche|
withdrawn|zurückgezogen|
yolk|eigelb|
jünglingdu|jünglingdu|
museums|museen|
private|privatem|
our|unserm|
abschaffst|abschaffst|
invest|anlegen|
spending|ausgab|
Bank|bank|
built|bauten|
Flew|flog|
bulk|großteil|
herstellst|herstellst|
any|jegliche|
solve|lösen|
do not lie|lüg|
rain|regen|
fame|ruhm|
Stabia|stabia|
dips|taucht|
text|text|
verbs|verben|
pronounced|aussprach|
by lead|durchführe|
furrowed|furchig|
check|prüfen|
travels|reist|
schulz|schulz|
schwächel|schwächel|
conversely|umgekehrt|
Duplicate|verdoppele|
occurred|vollzog|
wander|wanderst|
listening|zuhörens|
for example|beispielsweise|
letters|briefe|
empörst|empörst|
close|enge|
recovered|erholt|
first|erstes|
europe|europas|
tested|geprüft|
weakened|geschwächt|
behind|hinten|
known|kund|
for lack of|mangels|
mass|maße|
employee|mitarbeiter|
brought|mitgebracht|
descendant|nachkomme|
uses|nutzt|
period|periode|
the edge|rande|
revolution|revolution|
security|sicherheit|
immediately|sogleich|
fatal|tödlich|
environment|umgebung|
incapable|unfähig|
promise|versprech|
been|zuge|
context|zusammenhang|
befriend|befreunde|
troubled|beunruhige|
cardiac|kardial|
magician|zauberer|
ore|erz|
largely|größtenteils|
idea|ahnung|
aware|bewußt|
drängele|drängele|
astonished|erstaune|
childlike|kindlich|
take delight|vergnüge|
assume|annehme|
species|arten|
brutal|brutale|
relax|entspannst|
wake up|erwachst|
prayer|gebet|
belong|gehoren|
communities|gemeinden|
talk|gerede|
shine|glanz|
institute|institut|
mission|mission|
food|nahrung|
post|posten|
religious|religiös|
wealth|schätze|
markswoman|schützin|
studying|studierst|
displacing|verdränge|
sold|verkauft|
slowed|verlang|
tear-stained|verweint|
attacking|angreife|
need|bedürfnis|
donald|donald|
Dusseldorf|düsseldorf|
inclusive|einschließe|
erhoffst|erhoffst|
was found|erwies|
flame|flamme|
fear|fürcht|
prince|fürst|
balance|gleichgewicht|
gotte|gotte|
foundation|gründung|
hande|hande|
hinreiche|hinreiche|
young|jung|
nowhere|nirgends|
north|norden|
edge|rand|
moves|rückt|
said|sagten|
closes|schließt|
son|sohnes|
traffic|verkehr|
contracts|verträge|
requires|voraussetzt|
wolfgang|wolfgang|
acquiring|übernehm|
beruhigst|beruhigst|
out|draußen|
receive|empfange|
shepherd|hirten|
komplizierst|komplizierst|
krakow|krakau|
been able|vermocht|
world history|weltgeschichte|
delicate|zierlich|
old|altes|
before|davor|
closely|eng|
flowed|fließe|
in demand|gefragt|
concentrated|konzentrier|
mari|mari|
problem|problem|
sharp|scharf|
created|schuf|
growing|wachsendem|
reject|ablehnst|
completion|abschluß|
actuary|aktuar|
entrust|anvertraue|
sufficient|ausreiche|
significant|bedeutsam|
meeting|begegnung|
rob|beraubst|
well|brunnen|
double|doppelte|
there|dorthin|
entries|eintrage|
placid|gelassenem|
spared|geschont|
goddess|göttin|
duke|herzog|
professor|professor|
connections|schlüsse|
swan|schwanes|
visibly|sichtlich|
silver|silbern|
penalty|strafe|
seduce|verführst|
deteriorating|verschlechtere|
inwoven|eingewebt|
becomes ill|erkranke|
Renew|erneuere|
wonderful|herrlich|
predict|prophezeie|
tragic|tragisch|
worthy|würdig|
jakobl|jakobl|
occurs|auftritt|
dimension|dimension|
bid|gebot|
handles|griffe|
error|irrtum|
beyond|jenseits|
art world|kunstwelt|
mask|mask|
meanwhile|mittlerweile|
Parisa|parisa|
richie|richie|
red|rot|
fast|schnelle|
sweat|schweiss|
weakness|schwäche|
feel|spüre|
symbolism|symbolik|
animal|tier|
death|todes|
dead|tot|
spread|verbreite|
decay|verfall|
ventures|wagt|
contradicts|widerspreche|
center|zentrum|
purpose|zweck|
wood|holz|
massive|massive|
recognized|anerkannt|
show|anzeigen|
belohnst|belohnst|
seizure|beschlagnahme|
bitter|bittere|
Brie|brie|
abduct|entführst|
apparent|ergebe|
fertile|fruchtbare|
adds|fügt|
believed|geglaubt|
divide|gliedern|
interpret|interpretiere|
karl|karl|
care|kümmern|
afternoon|nachmittag|
properly|ordentlich|
round|runde|
sharp|scharfe|
control|steuern|
tea|tee|
woe|weh|
zwangt|zwangt|
designation|bezeichnung|
related|bezog|
therefore|deswegen|
sublime|erhaben|
fronts|fronten|
are going|fährst|
deity|gottheit|
herman|herman|
march|marsch|
novels|romane|
spiegei|spiegei|
met|trafen|
gather|versammle|
letters|buchstaben|
freeze|erstarre|
front|front|
get to know|kennenlerne|
kriegend|kriegend|
true|wahrhaftig|
überaii|überaii|
grazer|grazer|
sight|anblick|
anfordere|anfordere|
find me|auffinde|
again|aufs|
spreading|ausbreite|
excellent|ausgezeichnet|
away team|auswärtig|
flower|blume|
flights|flüge|
Frenchman|franzos|
amidst|inmitten|
correct|korrigiere|
physically|körperlich|
lipp|lipp|
morality|moral|
original|original|
wrestle|ringen|
Seline|seltne|
sobaid|sobaid|
Spann|spanns|
kill|tötest|
extensive|umfangreichem|
immortal|unsterblich|
subordinate|untergeben|
different|unterschiedlichem|
with draw|unterzeichnest|
verschulde|verschulde|
rattle|verunsichere|
commit|verüben|
vögele|vögele|
WOULD|wirke|
wealthy|wohlhabend|
pay|zahlst|
completed|abgeschlossen|
announced|angekündigt|
architecture|architektur|
trained|ausgebildet|
foreign|ausländisch|
christi|christi|
ceiling|decke|
close|engen|
franta|franta|
odor|geruch|
team|gespann|
jan|jan|
climate|klima|
feature|merkmal|
policies|politiken|
summer|sommer|
noticeable|spürbar|
met|traf|
origin|ursprung|
verhängst|verhängst|
rage|wut|
like|dergleichen|
soon|alsbald|
monument|denkmal|
ambition|ehrgeiz|
dress up|verkleide|
spill|verschütte|
sign|anzeichen|
have been|aufgehabt|
build|bauen|
notice|bemerke|
clearly|eindeutig|
penetrate|eindringe|
sensitive|empfindlichem|
learn|erfährst|
area|fläche|
separated|getrennt|
great|großartig|
strong|kräftig|
minute|minute|
mitmache|mitmache|
Moon|mond|
morally|moralisch|
new|neuem|
obviously|offensichtlich|
pflegst|pflegst|
stale|schal|
drama|schauspiel|
mold|schimmels|
Infiltrator|spitzels|
crosstalk|sprechens|
immobile|unbeweglich|
curse|verfluche|
exaggerated|übertrieb|
exercises|übt|
leave|abzugeben|
institution|anstalt|
phase|phase|
star|stern|
drives|treibt|
clock|uhr|
made|unternommen|
made|vorgenommen|
throw|wirfst|
why|wozu|
journal|zeitschrift|
crosswise|quer|
for which|wofür|
compartment|abteils|
silliest|alberst|
specification|angabe|
rise|aufstieg|
compensation|ausgleich|
demand|bedarf|
direct|direct|
discussion|diskussion|
carried out|durchgeführt|
abundance|fülle|
give|gebe|
expected|gerechnet|
made|getroffen|
grab|greife|
fundamental|grundlegend|
port|hafen|
pants|hose|
bend|kehre|
regions|regionen|
residual|rest|
weaker|schwächer|
student|schülerin|
since|seitdem|
sonstig|sonstig|
technology|technik|
typical|typisch|
active|tätig|
restless|unruh|
ahead|voraus|
past|vorbei|
allegations|vorwürfe|
more|weiteres|
throw|werf|
Wohi|wohi|
increased|zunahm|
overview|überblick|
oas|oas|
remote|abgelegen|
stay|aufenthalt|
performers|aufführe|
Augustow|augustow|
vault|gewölbe|
mark|markiere|
tired|müd|
Persian|persisch|
still|still|
aggressive|aggressiv|
announcing|ankündige|
listed|aufgeführt|
organizing|ausrichte|
Reject|ausscheide|
extend it|ausweite|
qualifying|berechtige|
least prepared|bereitens|
Punisher|bestrafer|
causest|bewirkst|
bind|binden|
dominas|dominas|
incense|erbittern|
experience|erlebe|
won|errang|
specifically give|erteilst|
sliced|geschnitten|
Indian|indisch|
inside|innen|
integral|integriere|
commercially|kommerziell|
concept|konzept|
monaco|monaco|
later|nachher|
benefit|profitiere|
agree that|räumst|
state|staatlichem|
Ukraine|ukraine|
includes|umfasst|
original|ursprünglichem|
area code|vorwahl|
change|wechseln|
Offices|ämter|
about doing|übermache|
overcome|überwinde|
overcome|überwunden|
bury|beerdige|
bloom|blühst|
remote|entlegen|
awaken|erweckst|
fingered|fingerig|
shepherd|hirt|
individually|individuell|
monastery|kloster|
Skidding|rücke|
incomprehensible|unbegreiflich|
person assessed|veranlage|
verhandein|verhandein|
action|aktion|
to the|ans|
astronomer|astronom|
Liberation|befrei|
presence|beisein|
threat|drohende|
level|ebene|
heritage|erbe|
given|geschenkt|
open|geöffnet|
this|hierzu|
minderem|minderem|
rate|rate|
pure|reine|
writes|schreibt|
Die|stirb|
bump|stoße|
scene|szene|
unclear|unklar|
merits|verdienste|
prejudice|vorurteil|
birds|vögel|
wan|wan|
future|zukünftig|
collapse|zusammenbruch|
holds together|zusammenhält|
additional|zusätzliche|
surprising|überraschende|
in the evening|abends|
adventure|abenteuer|
event|ereignis|
largest|größter|
heat|hitze|
lifted|hob|
succession|nachfolge|
level|niveau|
stature|statur|
stitch|stich|
quarter|viertel|
increasing|zunehmendem|
departure|abreise|
aging|alterns|
teach|beibringe|
break|brechen|
christel|christel|
functioning|funktioniere|
genera|genera|
died|gestorben|
healthy|gesunde|
risky|gewagt|
habit|gewohnheit|
run|lauf|
maries|maries|
would|möchten|
neutral|neutral|
tank|panzer|
phenomenon|phänomen|
