quizGroup type="WordMapping" promptType="English word" responseType="German word" currentPromptNumber="0"
perhaps|vielleicht
find out|herausfinde
put into|hineinstecke
unofficially|inoffiziell
for centuries|jahrhundertelang
combative|kampfes
candle|kerze
tickle|kitzeln
Dress|kleide
clarify|kläre
continental|kontinentale
continents|kontinente
controls|kontrollen
convention|konvent
corrections|korrekturen
bodies|körpern
laboratories|laboratorien
lamp|lampe
lurks|lauert
let|laß
Resumes|lebensläufe
lights|lichtern
reads|liest
Honorable|lobende
Blaze|lodere
flawless|makellos
medallion|medaillon
drug|medikament
perennial|mehrjährig
noticeably|merklich
Messiah|messias
bring with|mitbringe
moments|momente
for months|monatelang
Tomorrow|morgige
mother tongue|muttersprache
imitated|nachgeahmt/nachgemacht
designated|namhaft
National Socialism|Nationalsozialismus
Neptune|neptun
precipitation|niederschlag
Norwegian|norwegisch
Nuremberg|Nürnberg
profitable|nütze
East Prussian|ostpreuße
plastic|plastik
celebrities|promis
Protector|Protektor
plaster|putz
tormentor|quäler
rat|ratte
disrespectful|respektlos
rival|rivale
pipe|rohr
edges|ränder
relapse|rückfall
salty|salzig
chess game|schachspiel
pubic hair|schamhaar
shudder|schaudern/graust
mariners|schiffern
battlefield|schlachtfeld
grinds|schleift
swelled|schwoll
oath|schwur
creator|schöpferin
shallow|seicht
ensure|sichergestellt
Slovene|Slowene
nickname|spitzname
sport|sportart
commercial|spot
came|stammte
shrub|staude
stormy|stürmisch
swamp|sumpf
Syrian|syrisch
Marshes|sümpfe
sins|sünden
day out|tagein
pace|tempo
theatrical|theatralisch
tables|tische
titanium|titan
rages|tobt
envelope|umschlag
unintentionally|unabsichtlich
unceasingly|unaufhörlich
bothersome|unleidig
inhuman|unmenschlich
Ran|unterging
undermines|untergrabe
ceasing|unterlaß
be signed|unterschreib
submerging|untertauche
variant|variante
forbid|verbiet
encrypting|verschlüsselns
Forgive|verzeih/vergib
a wry|verzog
quarter of an hour|viertelstunde
bring before|vorführe
predetermining|vorgebe
moved away|weggezogen
reasonably chicke|wegschicke
Christmas ball|weihnachtsball
make up for|wettmache
again recognize|wiedererkenne
reproduced|wiedergegeben
scientist|wissenschaftlerin
feel comfortable|wohlfühle
place of residence|wohnort
silent|wortlos
conjures up|zaubert
lacerated|zerfetzt
disintegrated|zerfiel
contrite|zerknirscht
twitch|zuckst
to each other|zueinander
Affiliation|Zugehörigkeit
assured|zugesichert
Additions|zugänge
recycled|zurückgeführt
thrown back|zurückgeworfen
stand back|zurückstehe
second largest|zweitgrößte
twenty-two|zweiundzwanzig
overflow|überlauf
Petticoat|Unterkleid
become lonely|vereinsamen
shoulders|achseln
Alchemy|Alchimie
tense|angespannt
monoexponential|angleiche
address|anzugehen/adresse
conspicuous|auffällig
bloated|aufgebläht
alert|aufgeweckt
will settle|begleiche
unprecedented|beispiellos
pitiful|bemitleidenswert
prune|beschneide
Triangles|dreiecke
duel|duellieren
skinny|dürrer
springs from|entspringe
crave|ersehnst
colored|farbig
stunned|fassungslos
bondage|fesselns
gradient|gefälle
justified|gerechtfertigt
shaken|geschüttelt
Plant|Gewächs
look into it|hineinsehe
scheming|intrigant
competently|kompetent
confederal|konföderal
brim|krempe
legal|legale
powerless|machtlos
many|mancherlei
Mecca|mekka
take with|mitnehme
Lower Saxony|Niedersachsen
penetrating|penetrant
prominent|prominenter
bump up|pusteln
revolt|revoltieren
Knight|ritterin
ritual|rituell
pucker|runzeln
gentler|sanftere
enamel|schmelzes
unprotected|schutzlos
steadfast|standhaft
Saxon|sächsische
would look|sähe
some have|teilhabt
unconcerned|unbekümmert
unguarded|unbewacht
uncovered|ungedeckt
uninteresting|uninteressant
reward|vergelte
relatively|verhältnismäßig
get lost|verirrst
TO MEASURE|vermesse
traitor|verräterin
oversleep|verschlafe
protest|verwahre
quartered|vierteilen
blowing|wehend
recurring|wiederkehrende
licentiousness|wollüste
time hole|zeitloch
smash|zerschlag
Customs|zoll
rebuke|zurechtweise
back in its|zurückgelegen
bring about|überbringe
Supercharged|überlud
lupine|lupin
Phoenicia|phönizien
shit|scheißen
ammonia|ammoniak
amulet|amulett
anecdote|anekdote
incentive|ansporn
applying|anwende
architect|architekt
Assyrian|assyrer
canceling|aufhebe
absorb|aufnimmst
equipment|ausrüstung
bankrupt|bankrott
deal|befasse
entitlement|berechtigung
cheating|betrog
blinding|blendendem
characters|charaktere
roof|dach
bow and scrape|dienern
document|dokument/dokumentes
thirst|durst
lizard|eidechse
bucket|eimer
fictitious|erfundenem
poured|ausgoß/ergoss
appoint|ernenne
feeding|ernähre
warm it|erwärme
flag|flagge/fahne
vehicles|fahrzeuge
TV station|fernsehsender
running|fließendem
flight time|flugzeit
flood|flut
freezing|frier
catch|fängst
caught|gefangener
endangering|gefährdung
hoped|gehofft
sidewalk|gehsteig
sheared|geschert
ordinary|gewöhn/gewöhnliches
church services|gottesdienste
grave stone|grabstein
degrees|graden
goodness|güte
heroine|heldin
Handles|henkeln
be wrong|irren
anniversary|jahrestag
Empire|Kaisertum
germs|keime
dresses|kleidern
corridor|korridor
beetle|käfer
maze|labyrinth
country house|landhaus
agriculture|landwirtschaft
vice|laster
Suffering|leidens
leader|leiterin
songs|lieder
workflows|läufe
manuscript|manuskript
market|markt
massacre|massaker
mechanics|mechanik
metropolis|metropole
mothers|mütter
maternal|mütterlich
complements are|nachträge
Napoleonic|napoleonische
nurturing|nähre
oracle|orakel
orientable|orientier
Persia|persien
parish|pfarrei
physical|physischem
planning|planung
Prussia|Preußens
rehearse|proben
programs|programme
Papal|päpstliche
quartet|quartett
React|reagier
rings|ringe
rolls|rollt
ointment|salbe
sands|sanden
shank|schaft
Scheldt|schelde
Pain|schmerzes
crashing|schmettere
desks|schreibtische
skulls|schädeln
Peer to peer|seinesgleichen
Serb|serbe
declining|sinkende
Slovak|Slowake
Speaking|Sprachraum
saying|spruch
Polity|Staatswesen
locations|standorte
steal|stehle
tight|straff
warriors|streitern
groan|stöhne
Symptoms|symptome
scenarios|szenarien
scene of the crime|tatort
Participants|Teilnehmern
Carpets|teppiche
theaters|theatern
therapy|therapie
meeting place|treffpunkt
dances|tänzen
bypassed|umging
look around|umsehe
underworld|unterwelt
will destroy|vertilge
preference|vorzug
World Council|weltrat
smudge|wisch
consciously|wusst
tore|zerriss
feel like|zumute
teamed up|zusammengetan
forestalled|zuvorkam
modified|abgewandelt
worshiped|angebetet
set off|aufbrach
baggy|ausgebeult
dying out|aussterbe
influenced|beeinflusst
desiring|begehrende
Summon|beschwörst
brotherly|brüderlich
belonging to|dazugehörig
disciplines|disziplinen
by cutting|durchschneide
stubbornness|eigensinn
been bombarded with|eingestürmt
reveal|enthülle
Epilogue|Epilog
epic|episch
extort|erpresse
opened up|erschloss
explosive|explosiv
would progress|fortschreite
friendliness|freundlichkeit
piety|frömmigkeit
customs|gebräuchen
damped|gedämpft
the found|gefundenem
looped|geschleift
blown up|gesprengt
poison gas|giftgas
greenish|grünliche
Semi-long|halblang
condescending|herablasse
outstanding|herausrage
Add to this|hinzunehme
crater|krater
cooler|kühler
lautering|läuterns
mummy|mumie
musician|musikant
Coats|mäntel
afterimage|nachbilde
to imitate|nachzuahmen
pavement|pflaster
realistic|realistisch
risking|riskierst
sacral|sakral
melt|schmelze
chatter|schwatze
emeralds|smaragdes
walk|spaziergang/spaziert
Territory|Staatsgebiet
Stretch your|streckst
tactical|taktisch
tonearm|tonarm
tragedy|trauerspiel
overturned|umgeworfen
radius|umkreises
insensitive|unempfindlich
universal|universale
irregularly|unregelmäßig
marginally|unwesentlich
urn|urne
wasting|vergeude
entice|verlocke
sank|versank
swallow|verschlinge
conspire|verschwöre
amazement|verwunde
intended|vorgehabt
reproach|vorhalten
leave out|weglasse
pioneering|wegweisend
withered|welk
unruly|widerspenstig
resistant|widerstandsfähig
charitable|wohltätig
demolition|abbruch
departments|abteilungen
africa|afrikas
old town|altstadt
employer|arbeitgeber
stock market|börse
of those|derer
print|drucken
england|englands
finances|finanzen
photo|foto
site|stätte/gelände
siblings|geschwistern
grain|getreide/korn
cock|hahn
raises|hebt/aufwerfe
to what extent|inwieweit
license|lizenz
masses|massen
top layer|oberschicht
Easter|ostern
prose|prosa
shoots|schießt
as such|schlechthin
senate|senats
steel|stahl
stepmother|stiefmutter
during the day|tagsüber
to look|umzusehen
discrepancies|unstimmigkeiten
Vatican|vatikan
weather|wetters
reconstruction|wiederaufbau
living room|wohnzimmer
two and a half|zweieinhalb
basal|basalem
arbitrating|schlichtend
On Game|aufspiele
one towers|einstürme
Horcrux|horkrux
on sleep|überschlafe
break off|abbreche
to agreement|abspreche
commonplace|alltäglich
analog|analogem
Beginner|Anfängerin
salutation|anrede
argon|argons
which has|aufweise
merciful|barmherzig
oppressing|bedränge
affirm|bejahe
illuminating|beleuchte
remarkable|bemerkenswerte
mountaineering|bergsteige
nature|beschaffenheit
recollect|besinnst
stands the test|bewähre
pale|bleich/blass
bearded|bärtig
dialectic|dialektik
tolerate|dulde/toleriere/duldest
by breaking|durchbreche
get through|durchkomme
look through|durchsehe
dawns|dämmert
selfish|egoistisch/selbstsüchtig
Self-will|eigenwille
icy|eisig
decapitate|enthaupte
vomit|erbreche
conceived|erdacht
inconclusive|ergebnislos
sounding|erklinge
explaining|erklärens
Revive|erquicke
counterattack|gegenangriff
piercing|gellend
business leaders|geschäftsführend
stink|gestank
watched|gewacht/zugesehen
approve|gutheiße
glove|handschuh
helmets|helme
to give|hinzugebe
Virgo|jungfrau
Emperors|Kaisern
scratch|kratzer
Declaration of war|kriegserklärung
lavender|lavendel
for life|lebenslänglich
PROVIDING|lieferst
Diversity|Mannigfaltigkeit
massaging|massierst
rent|mieten
misusing|missbrauchst
unfortunate|misslich
idle|müßig
imitate|nachahme
resign|niederzulegen/zurücktrete
burst|platzen
Protestant|protestantisch
Serve|serviere
phone|telefonisch
intoxicated|trunkene
paraphrased|umschrieb
pretending|verstellst
segment passing|verstreiche
ence in|wegbereich
viniculture|weinbau
werewolf|werwolf
silly|zickig
ignite|zünden
Azkaban|askaban
by travels|durchreist
flourished|geblüht
live out|ableben
distracted|ablenke
depose|absetze
graduate|absolvent
strip off|abstreife
actor|akteur
americans|amerikanern
adaptive|anpasse
eye|auges
by heart|auswendig
Basel|Basler
belly|bauch
quakes|bebt
Belgrade|belgrad
visitors|besuchern
bee|biene
heyday|blütezeit
Bust|Brustbild
Jack|bube
bull|bulle
federal court|bundesgericht
volume|bändige
Ally|Bündnispartner
, character|charakters
editor in chief|chefredakteur
choir|chor
Chromium|chroms
Monarchy|Donaumonarchie
chou|dschou
revenue|einnahmen
ince|eit
emancipation|emanzipation
grandchildren|enkeln
hijacked|entführ
inherits|erbt
rejoice|erfreue
recognizable|erkenn
achieved|erziele
owl|eule
extreme|extrem
specialists|fachleute
procedure|fahrens
family member|familienmitglied
flyer|flieger
airline|fluggesellschaft
river|flusse
hospitality|gastfreundschaft
crook|gauner
territory require|gebietes
clotted|gerann
directed|gerichtetem
cruelty|grausamkeit
guests|gästen
half-brother|halbbruder
manual|handbuch
main reason|hauptgrund
general problem|hauptproblem
shell|hülle/muschel
guardian|hüter
imperil|imperii
into each other|ineinander
dump|kaff
hood|kapuze
guy|kerl
Kiev|kiew
denomination|konfession
constitution|konstitution
contacts|kontakte
cruisers|kreuzern
crawl|kriechst
state of war|kriegszustand
cultures|kulturen
cultural history|kulturgeschichte
District Court|Landgericht
State election|Landtagswahl
praises|lobt
logic|logik
Wages|löhne
standards|maßstäbe
championship|meisterschaft
mentality|mentalität
fashion|mode
pattern pupil|musterschüler
miller|müller
nineteen|neunzehn
ninety|neunzig
Election|Neuwahl
niche|nische
North|nordens
Northwest|nordwesten
benefits|nützt
Upper|ober
olive|oliv
organizer|organisator
range|palette
bad luck|pech
sample|probe
producer|produzent
mercury|quecksilber
notch|raste
town hall|rathaus
purest|reinstem
rip|reiße
Rhineland|Rheinland
sacraments|sakramente
satellite|satellit
vagina|scheide
transparent world|scheinwelt
melted|schmolz
swear|schwörst
sector|sektor
bliss|seligkeit
wins|siegt
Scandinavia|skandinavien
Socrates|sokrates
sunset|sonnenuntergang
at the latest|spätestens
statesman|staatsmann
statute|statut
stands|sticht
schedule|stundenplan
dancers|tänzerinnen
pots|töpfe
under take|unternehmt
betroth|verlobe
economics|volkswirtschaft
chairmanship|vorsitz
fend|wehre
advertising|werbung
unconstitutional|widrig
weighed|wog
Desiring|wunsche
wolves|wölfen
dignitary|würdenträger
centers|zentren
forced labor|zwangsarbeit
omnipotent|allmächtig
hinting|andeutens
seizures|anfälle
swells|anschwelle
was rising|ansteige
to attract|anzuziehen
working day|arbeitstag
East Atlantic|atlantiks
sincere|aufrichtiges
think out|ausdenke
Bathing|badend
builder|baumeister
cotton|baumwolle
confessor|beichtvater
attend|beizuwohnen
bestride|beschreite
discussed|besprochen
evaluating|bewertens
biogenic|biogen
flash|blitzen
Bolshevik|bolschewik
slow down|bremsen
dictate|diktiere
avid|eifriges
incising|einschneide
hermit|einsiedler
ice-cold|eiskalt
bring against|entgegenbringe
demilitarize|entmilitarisieren
stabbed|erstach
endured|ertrug/ausgehalten
Exports|Exporte
fencer|fechter
stay away|fernbleibe
Appellant|führerin
suspected|geahnt
stooping|gebückt
against stellst|gegenüberstellst
tortured|gequält
molten|geschmolzen
decorated|geschmückt
minded|gesonnen
gigantic|gigantisch
thank goodness|gottlob
gruesome|grausig
guesthouse|gästehaus
bring out|herausbringe
came in|hereinkam
fall down|hinfalle
sustained|hinhalte
to get|hinzukomme
idealistically|idealisch
chins|kinne
vices|lastern
lukewarm|lau
carelessness|leichtsinn
senior|leitende
get away|loskomme
mutiny|meuterei
complicity|mitschuld
pickings|nachlese
nationalist|nationalistisch
go down|niedergehe
tear down|niederreiße
pathologist|pathologe
peripheral|peripher
Pomerania|Pommern
primacy|primat
predestine|prädestinieren
psychiatry|psychiatrie
register|registriere
rub|reiben/reibst
lovely|reizende
shalom|schalom
scheme|schema
push|schieben
hurl|schleuderst
Carving|schnitzt
STUDENT|SCHÜLERS
calmness|seelenruhe
sail|segelst
complacent|selbstgefällig
social policy|sozialpolitik
South German|süddeutsch
, moving around|umherziehe
untouchable|unantastbar
unfree|unfreies
unresolved|ungelöst
incredible|unglaublichem
irresistible|unwiderstehlich
unwillingness|unwille
Americans|US-Amerikaner
astound|verblüffe
enticing|verleitens
missed|verpasst
decayed|verwest
wash|waschen/wäschst
choke|würgen
quarreled|zerstritt
been listening|zugehörst
falling back|zurückgreife
taken together|zusammengenommen
attributing|zuschreibe
Austro-Hungarian|österreichisch-ungarische
on offer|überbiete
on male|übermale
skip|schwänzen/überspringe
exposing|exponiere
Colossal|kolossalem
Civilize|zivilisiere
whitewash|beschönige
tattoo|tätowiere
bulky|unförmig
virtuoso|virtuoser
rhymes together|zusammenreime
discouraged|abriet
wash up|abwasche
chords|akkorde
gracefully|anmutig
Rising|Aufgang
waves with|aufsehens
plundered|ausgeplündert
devise|auszudenken
deals|befasst
hairy|behaart
pity|bemitleide
mountainous|bergig
defeated|bezwungen
biological|biologisch
Federal President|Bundespräsident
nationwide|überregional/bundesweit
Graubünden|bünden
run away|davonlaufe/fortlaufe
lathe|drehbank
transit|durchreise
roam|durchstreife
demonic|dämonie
should capture|einfange
initiate|einzuleiten
By accepting|entgegennehme
decision-making|entscheidens
soil|erdreich
hearest|erhörst
blush|errötest
instigate|ersinner
extremist|extremistin
Fascist|faschistin
rotting|faulend
coward|feigling
fineness|feinheit
men's field|feldherr
fireworks|feuerwerk
film|filmen
branded|gebrandet
Chambers|gemächer/kammern
Enjoyment|Genuß
orderly|geordnetem
donated|gestiftet
fancied|gewähnt
grenade|granate
make up|gutzumachen
gybing|halse
Hebrew|hebräisch
came out|heraustrat
walk around|herumlaufe
invalid|hinfällig
go up|hochfahre
interaction|interaktion
Iraqi|irakisch
virgin|jungfräulich
rake in|kassierst
bud|knospe
Unbutton|knöpf
Cossack|kosake
Outbreak of war|Kriegsausbruch
slow|langsames
Lectureship|Lehrauftrag
Rulers|lineale
maneuver|manövriere
significantly|maßgeblich
misunderstood|missverstand
was helping to|mithelfe
Mongolian|mongolin
mystical|mystisch
murderous|mörderisch
nameless|namenlos
newcomer|neuankömmling
newborn|neugeboren
burn down|niederbrenne
Located down|niedergelegen
periodically|periodisch
Whorl|Quirls
all around|rundum
reddish|rötlich
Sardis|sardes
acumen|scharfsinn
sleepless|schlaflos
forges|schmiedet
sparest|schonst
abrupt|schroff
shabby|schäbig
longings|sehnsüchte
silk|seidene
self-confident|selbstbewusst
sender of|senderin
Siberia|sibirien
moral|sittlich
freckle|sommersprosse
sunny|sonnig
specialty|spezialität
reflect|spiegeln
game rules|spielregel
language|sprachlich
punishable|strafbar
subtle|subtil
seeker|suchende
diving|tauchend
telepaths|telepathen
devilry|teufelei
tourist|touristin
trojan|trojanisch
drum|trommeln
deadly|tödliches
do pottery|töpfern
surrounded|umgab
retune|umzustimmen
underlined|unterstrich
Gilding|Vergoldung
heinous|verrucht
overslept|verschlief
merged|verschmolz
disguise|verstelle
much year round|vieljährig
four-year|vierjährig
outlaw|vogelfrei
rash|voreilig
carry forward|vorzutragen
genocide|völkermord
vigilant|wachsam
watchful|wachsames
running away|weglaufe
take away|wegnehme
continue|weiterzuführen
far-reaching|weitreichend
importance|wichtigkeit
amends|wiedergutzumachen
warmer|wärmer
lagged|zurücklag
to cover|zurückzulegen
twentieth|zwanzigste
day after tomorrow|übermorgen
supernatural|übernatürlich
via chat|überschattest
crash|absturz
everyday|alltages
alternative|alternativ
ant|ameise
Association|Arbeitsgemeinschaft
arene|aren
athlete|athlet/sportler
delay|aufschub
eyewitness|augenzeuge
identify|ausfindig
Information|auskünfte
highways|autobahnen
liberator|befreier
convenience|bequemlichkeit
reporting|berichterstattung
Bestow|beschenke
bribe|bestecht
hidest|birgst
flashes|blitze
blocks|blöcke/sperrt
boxing|boxe
burns|brennt
Fountain|Brunnens
bush|busch
dictatorship|diktatur
Dominik|dominiks
EDWARD|eduard
enthusiasm|enthusiasmus
reap|erntest
fairies|feen
freely give|freigebt
voluntary|freiwilliger
Peace treaty|Friedensschluss
floor|fußboden
Elite|Führungsschicht
fifteen|fünfzehn
mindful|gedenkst
brains|gehirne
ghost|gespenst
gestures|gesten
grass|gras
half-year|halbjahr
harp|harfe
central station|hauptbahnhof
protagonist|hauptfigur
hereby|hiermit
honey|honig
anthem|hymne
idealism|idealismus
engineers|ingenieure
inmate|insasse
insect|insekt
the extent|insoweit
integrity|integrität
intensity|intensität
Ireland|irland
chase|jagen
fighting spirit|kampfgeist
barracks|kaserne
catalyst|katalysator
heretic|ketzer
target class|klassenziel
combinations|kombinationen
Constance|konstanz
continuity|kontinuität
corporations|konzerne
Criminal Investigation Department|kriminalpolizei
reduction|kürzung
country people|landsleute
zest for life|lebensfreude
educational master|lehrmeister
linden|linde
air-raid|luftangriff
elongated|länglich
Takeover|Machtübernahme
scale|maßstab
medal|medaille
Mexico|mexiko
Moses|mose
disadvantages|nachteilen
incidentally|nebenbei
nun|nonne
North German|norddeutsch
fool|närrin
Pope|papste
partnership|partnerschaft
portraits|porträts
press release|pressemitteilung
privacy|privatleben
wheel|rad
case law|rechtsprechung
Reflection|reflektiere
riches|reichtümer
pension|rente
mining|rohstoffe
rom|roms
equip|rüste
say|sag
sandal|sandale
shilling|schilling
Self-determination|Selbstbestimmung
suicide|selbstmord
self-confidence|selbstvertrauen
Seniors|Senioren
seventeen|siebzehn
syllable|silbe
slavery|sklaverei
sunbeam|sonnenstrahl
special unit|spezialeinheit
specialist|spezialist
blow up|sprengst
stable|stall
statistics|statistiken
Capricorn|steinbock
firmer|straffer
punishes|straft
tram|straßenbahn
disputes|streitigkeiten
sublimate|sublimieren
meets|tagt
camouflage|tarnung
Tatars|tataren
engineer|techniker
technologist|technologe
agony|todesangst
traumatic|traumatisch
triad|triade
consolation|trost
tower|turm
gymnast|turner
turnover|umsatz
inconvenience|unannehmlichkeit
inorganic|unorganisch
incorrect|unrichtig
accommodation|unterkunft
subdue|unterwerft
Lord's prayer|vaterunser
Annoyance|Verdruss
rot|verfaule
failure|versager
perfects|vervollkommne
forefathers|vorväter
Libra|waage
Web Links|Weblinks
see again|wiederzusehen
whirl|wirble
widow|witwe
about which|worüber
centimeter|zentimeter
room|zimmers
viewers|zuschauern
esthete|ästhet
overcoming|überwindung
, accents|akzentuiere
pathetic|armselig
irrigate|bewässere
Herod|Herodes
collegial|kollegialem
relativizing|relativiere
ruin|ruiniere
stutter|stottere
tick|ticken
spiritualize|vergeistige
soiled|verschmutze
beautify|verschönere
Egyptians|Ägyptern
evening|abendlich
blown off|abgeblasen
collusive|abgekartet
deposits|absetzt
to avert|abzuwenden
congenital|angeboren
acceptable|annehmbar
Antarctica|antarktika
anthropologist|anthropologe
to stop|anzuhalten
to attach|anzuhängen
workaholic|arbeitstier
Civility|Artigkeit
recited|aufgesagt
repeal|aufzuheben
drive a car|autofahren
bacterium|bakterie
tree trunk|baumstamm
confessional|beichtens
manning|bemannen
wetted|benetzt
bidder|bietend
fading|blendens
Bosnian|bosnische
book|buchen
Canon|Canons
epee|degen
made by|durchgemacht
hold out|durchhalten
dynasty|dynastie
estimated|eingeschätzt
consent|einverständnis
incorporate|einzubauen
include|einzubeziehen
capture|einzufangen
Knuckle|eisbein
relaxing|entspann
invented|erfand
suffer|erleide
frightening|erschreckende
torch|fackel
falling|fallende
Vacation course|Ferienkurs
blown|geblasen
fried|gebraten
rushed|geeilt
precipitated|gefallt
braided|geflochten
fake|gefälscht
resistance|gegenwehr
uneasy|geheuer
horny|geil
crucified|gekreuzigt
yellowish|gelblich
geographer|geographin
straight|geradlinig
grated|gerieben
separately|separat/gesondert
staring|gestarrt
embroidered|gestickt
, drink|getränks
crafty|gewieft
equaled|gleichkam
smoothness|glätte
glow|glühst
merciless|gnadenlos
great prince|großfürst
large spaces|großräume
basic wage|grundlohn
liable|haftbar
handbreadth|handbreit
household|haushalt
way home|heimweg
induced|herbeigeführt
came down|herunterkam
Hesse|hessen
howling|heulend
from this|hiervon
written down|hingeschrieben
highly revered|hochverehrt
homage|huldige
heads design|häupter
Iranian|iranisch
earthly|irdisch
Israeli|israelisch
combat action|kampfhandlung
Carthage|karthago
Celtic|keltisch
identify signatories|kennzeichnern
works|klappt
climatic|klimatisch
tuber|knolle
Come|komm
constellation|konstellation
basket|korb
creative|kreatives
warship|kriegsschiff
knowledgeable|kundig
Kurdish|kurdisch
lustful|lüstern
power politics|machtpolitisch
Mantle|Mantels
massive|massig
people living|menschenleben
co worker|mitarbeiters
mediatrix|mittlerin
Moser|mosers
mythologist|mythologe
discounts|nachlässe
intelligence|nachrichtendienst
emergency|notlage
organ|orgel
pass|paß
Pompeian|pompeja
proportions|proportionen
protégé|protegé
accurate|präzis
adolescent|pubertär
mob|pöbel
Takest|rastest
rushing|rauschende
righteous|rechtschaffen
shelves|regale
Ruhr|Ruhrgebiet
puzzle|rätseln
back workflows|rückläufe
boast|rühmst
Shoveling|schaufelt
shin|schienbein
butchers|schlachtern
stranger|seltsamere
injected|spritzt
Stein|Steins
Road|Straßenverkehr
strip|strippen
currents|ströme
stockings|strümpfe
sin|sünde
're no|taugst
topography|topografie
homicide|totschlag
Chechen|tschetschene
careless|unachtsam
unannounced|unangemeldet
unarmed|unbewaffnet
unthinkable|undenkbar
of inadequate|ungenügen
offense|ungut
disaster|unheil
irretrievably|unwiederbringlich
changing constitutional|verfassungsändernd
trusting|vertrauensvoll
confused|verworren
virtual|virtuell
calf|wade
setting say|weissagst
to pass|weiterzugeben
whitish|weißlich
